"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify navigation to the Forms page.","1790","Navigate to Forms page","tests.ui","Wed Feb 25 11:20:57 GMT 2026","passed","Wed Feb 25 11:20:58 GMT 2026","TestFormsPage","Forms","",""
"Verify filling and submitting the student form.","5200","Fill in all form fields","tests.ui","Wed Feb 25 11:20:59 GMT 2026","passed","Wed Feb 25 11:21:04 GMT 2026","TestFormsPage","Forms","",""
