"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2020","Navigate to Alerts Frame Windows page","tests.ui","Tue Feb 24 12:21:14 GMT 2026","passed","Tue Feb 24 12:21:16 GMT 2026","TestMainPage > TestAlertsFrameWindowsMainPage","Main Page","",""
"","2019","Navigate to Forms page","tests.ui","Tue Feb 24 12:21:12 GMT 2026","passed","Tue Feb 24 12:21:14 GMT 2026","TestMainPage > TestFormsMainPage","Main Page","",""
"","2207","Navigate to Elements page","tests.ui","Tue Feb 24 12:21:09 GMT 2026","passed","Tue Feb 24 12:21:11 GMT 2026","TestMainPage > TestElementsMainPage","Main Page","",""
"","2072","Navigate to Interactions page","tests.ui","Tue Feb 24 12:21:19 GMT 2026","passed","Tue Feb 24 12:21:21 GMT 2026","TestMainPage > TestInteractionsMainPage","Main Page","",""
"","2089","Navigate to Widgets page","tests.ui","Tue Feb 24 12:21:17 GMT 2026","passed","Tue Feb 24 12:21:19 GMT 2026","TestMainPage > TestWidgetsMainPage","Main Page","",""
