"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2783","Navigate to Elements page","tests.ui","Tue Feb 24 11:58:07 GMT 2026","passed","Tue Feb 24 11:58:10 GMT 2026","TestMainPage > TestElementsMainPage","Main Page","",""
"","2709","Navigate to Alerts Frame Windows page","tests.ui","Tue Feb 24 11:58:13 GMT 2026","passed","Tue Feb 24 11:58:16 GMT 2026","TestMainPage > TestAlertsFrameWindowsMainPage","Main Page","",""
"","2670","Navigate to Interactions page","tests.ui","Tue Feb 24 11:58:19 GMT 2026","passed","Tue Feb 24 11:58:22 GMT 2026","TestMainPage > TestInteractionsMainPage","Main Page","",""
"","2700","Navigate to Widgets page","tests.ui","Tue Feb 24 11:58:16 GMT 2026","passed","Tue Feb 24 11:58:19 GMT 2026","TestMainPage > TestWidgetsMainPage","Main Page","",""
"","2707","Navigate to Forms page","tests.ui","Tue Feb 24 11:58:10 GMT 2026","passed","Tue Feb 24 11:58:13 GMT 2026","TestMainPage > TestFormsMainPage","Main Page","",""
